Y Y Y 18 4 None 519 API 2.0 I 2.0 2018-10-05 13:22:03 2018-10-05 13:22:03 None
Y Y Y 18 2 None 520 API 2.0 I 2.0 2018-10-05 13:22:03 2018-10-05 13:22:03 None
Y Y Y 18 9 None 521 API 2.0 I 2.0 2018-10-05 13:22:03 2018-10-05 13:22:03 None
Y Y Y 18 10 None 522 API 2.0 I 2.0 2018-10-05 13:22:03 2018-10-05 13:22:03 None
Y Y Y 18 20 None 523 API 29.0 I 29.0 2018-10-05 13:22:03 2018-10-05 13:22:03 None
Y Y Y 56 5 None 412 API 2.0 I 2.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 4 None 413 API 5.0 I 5.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 7 None 414 API 5.0 I 5.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 6 None 415 API 2.0 I 2.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 3 None 416 API 2.0 I 2.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 9 None 417 API 2.0 I 2.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 13 None 418 API 2.0 I 2.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 12 None 419 API 2.0 I 2.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 14 None 420 API 2.0 I 2.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 2 None 421 API 2.0 I 2.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 20 None 422 API 29.0 I 29.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 18 None 423 API 2.0 I 2.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 56 23 None 424 API 29.0 I 29.0 2016-04-20 12:53:39 2016-04-20 12:53:39 None
Y Y Y 73 20 None 547 None 5.0 I 5.0 2019-09-10 16:21:40 2019-09-10 16:21:40 None
Y Y Y 68 20 None 530 API 29.0 I 29.0 2019-06-18 09:50:55 2019-06-18 09:50:55 None
Y Y Y 74 20 None 546 None 5.0 I 5.0 2019-09-10 16:21:01 2019-09-10 16:21:01 None
Y Y Y 56 7 None 548 None 5.0 I 5.0 2019-09-10 16:26:22 2019-09-10 16:26:22 None
Y Y Y 66 18 None 549 API 2.0 I 2.0 2019-09-30 11:37:52 2019-09-30 11:37:52 None
Y Y Y 48 18 None 280 API 2.0 I 2.0 2011-11-23 11:51:41 2011-11-23 11:51:41 None
Y Y Y 51 20 None 524 None 5.0 I 5.0 2019-01-07 15:46:40 2019-01-07 15:46:40 None
Y Y Y 24 18 None 132 API 2.0 I 2.0 2011-01-07 11:28:23 2011-01-07 11:28:23 None
