,CR_RESP_ID,CM_MENU_ID,MENU_RESP_DESC,MENU_RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG,SL_NO
131,2,4010,Reports,519,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
132,6,507,Goods Receipt,520,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
133,4,703,Item In Locations,521,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
134,9,222,Price Roundings,522,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
135,6,506,Po Buyers,523,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
136,5,311,Item Movements,524,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
137,4,702,Item By Location,525,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
138,6,503,Purchase Order,526,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
139,5,310,Stock Adjustment,527,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
140,5,309,Weee Charges,528,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
141,9,221,Terms And Conditions,529,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
142,5,308,Similar Items,531,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
143,5,307,Item Serial Numbers,532,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
144,9,220,Currency Rates,533,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
145,4,701,Item Search,534,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
146,5,601,Price Break,535,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
147,5,306,Inventory Locations,536,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
148,5,305,Manufacturers,537,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
149,5,304,Inventory Options,538,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
150,6,505,Ap Options,539,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
151,7,403,Ar Options,540,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
152,9,216,Reasons,541,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
153,9,215,Containers,542,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
154,9,213,Countries,543,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
155,9,214,Payment Terms,544,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
156,5,303,Items,545,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
157,5,302,Price Types,547,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
158,5,301,Item Categories,548,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
159,6,502,Suppliers,550,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
160,6,501,Supplier Profiles,551,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
161,7,402,Customer,552,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
162,7,401,Customer Profiles,553,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
163,9,212,Seasons,554,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
164,9,210,Banks,555,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
165,9,209,Tax Codes,556,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
166,9,208,Currencies,557,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
167,9,207,Payment Methods,558,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
168,9,206,Unit Of Measurements,559,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
169,9,205,Business Units,560,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
170,9,202,Company,561,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
171,9,201,Lookups,562,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
172,10,1001,User,564,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
173,10,1003,Functions,565,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
174,10,1002,Menus,567,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
175,10,1004,Responsibility,568,API,nan,I,nan,2009-12-28 15:53:19,2009-12-28 15:53:19,None,1.0
176,10,292,Export Templates,588,API,nan,I,nan,2010-06-01 20:06:19,2010-06-01 20:06:19,None,1.0
177,5,30,Inventory,573,API,nan,I,nan,2010-01-08 17:41:36,2010-01-08 17:41:36,None,1.0
178,6,5,Payables,574,API,nan,I,nan,2010-01-08 17:41:36,2010-01-08 17:41:36,None,1.0
179,5,367,Item Batch,584,API,nan,I,nan,2010-03-16 20:47:25,2010-03-16 20:47:25,None,1.0
180,9,295,Sales Terminals,593,API,nan,I,nan,2010-08-03 07:58:37,2010-08-03 07:58:37,None,1.0
181,9,296,Mail Merge Template,609,API,nan,I,nan,2010-08-03 07:59:38,2010-08-03 07:59:38,None,1.0
182,7,451,Cannon Sales Screen,612,API,nan,U,2.0,2011-01-03 19:17:34,2010-08-03 07:59:38,None,1.0
183,11,6005,Report Log,613,API,nan,I,nan,2010-08-03 07:59:38,2010-08-03 07:59:38,None,1.0
184,11,6002,Oracle,614,API,nan,I,nan,2010-08-03 07:59:38,2010-08-03 07:59:38,None,1.0
185,11,6001,Bbc,615,API,nan,I,nan,2010-08-03 07:59:38,2010-08-03 07:59:38,None,1.0
186,11,6003,Technet,616,API,nan,I,nan,2010-08-03 07:59:38,2010-08-03 07:59:38,None,1.0
187,11,6004,Oratech,617,API,nan,I,nan,2010-08-03 07:59:38,2010-08-03 07:59:38,None,1.0
188,7,450,Sales Payment By Invoice,619,API,nan,I,nan,2010-08-03 07:59:38,2010-08-03 07:59:38,None,1.0
189,10,294,Default Programs,620,API,nan,I,nan,2010-08-03 07:59:38,2010-08-03 07:59:38,None,1.0
190,10,293,Schedule A Job,621,API,nan,I,nan,2010-08-03 07:59:38,2010-08-03 07:59:38,None,1.0
191,4,882,Invoice Batch Audit,679,API,nan,I,nan,2010-08-26 19:11:28,2010-08-26 19:11:28,None,1.0
192,12,451,Cannon Sales Screen,742,None,2.0,U,2.0,2011-01-05 17:33:02,2010-10-07 14:46:47,None,1.0
193,12,452,Import Invocies,743,None,2.0,U,2.0,2010-10-07 14:47:13,2010-10-07 14:46:47,None,2.0
194,12,449,Sales Credit Note,744,None,2.0,U,2.0,2010-10-07 14:47:13,2010-10-07 14:46:47,None,3.0
