,CUR_DELETE,WRITE,READ,CU_USER_ID,CR_RESP_ID,USER_RESP_DESC,USER_RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG
28,Y,Y,Y,40,20,None,400,API,29.0,I,29.0,2015-10-06 11:13:10,2015-10-06 11:13:10,None
29,Y,Y,Y,55,7,None,401,API,2.0,I,2.0,2016-01-04 08:44:00,2016-01-04 08:44:00,None
30,Y,Y,Y,55,5,None,402,API,2.0,I,2.0,2016-01-04 08:44:00,2016-01-04 08:44:00,None
31,Y,Y,Y,55,6,None,403,API,2.0,I,2.0,2016-01-04 08:44:00,2016-01-04 08:44:00,None
32,Y,Y,Y,55,3,None,404,API,2.0,I,2.0,2016-01-04 08:44:00,2016-01-04 08:44:00,None
33,Y,Y,Y,55,4,None,405,API,2.0,I,2.0,2016-01-04 08:44:00,2016-01-04 08:44:00,None
34,Y,Y,Y,55,2,None,406,API,2.0,I,2.0,2016-01-04 08:44:00,2016-01-04 08:44:00,None
35,Y,Y,Y,55,9,None,407,API,2.0,I,2.0,2016-01-04 08:44:00,2016-01-04 08:44:00,None
36,Y,Y,Y,27,7,None,430,API,2.0,I,2.0,2016-09-19 14:09:44,2016-09-19 14:09:44,None
37,Y,Y,Y,55,20,None,409,API,29.0,I,29.0,2016-01-04 08:44:00,2016-01-04 08:44:00,None
38,Y,Y,Y,29,25,None,425,None,29.0,I,29.0,2016-05-14 16:32:19,2016-05-14 16:32:19,None
39,Y,Y,Y,20,25,None,426,None,29.0,I,29.0,2016-05-14 16:32:31,2016-05-14 16:32:31,None
40,Y,Y,Y,27,5,None,431,API,2.0,I,2.0,2016-09-19 14:09:44,2016-09-19 14:09:44,None
41,Y,Y,Y,27,6,None,432,API,2.0,I,2.0,2016-09-19 14:09:44,2016-09-19 14:09:44,None
42,Y,Y,Y,27,3,None,433,API,2.0,I,2.0,2016-09-19 14:09:44,2016-09-19 14:09:44,None
43,Y,Y,Y,27,4,None,434,API,2.0,I,2.0,2016-09-19 14:09:44,2016-09-19 14:09:44,None
44,Y,Y,Y,18,5,None,516,API,2.0,I,2.0,2018-10-05 13:22:03,2018-10-05 13:22:03,None
45,Y,Y,Y,18,6,None,517,API,2.0,I,2.0,2018-10-05 13:22:03,2018-10-05 13:22:03,None
46,Y,Y,Y,27,20,None,437,API,29.0,I,29.0,2016-09-19 14:09:44,2016-09-19 14:09:44,None
47,Y,Y,Y,27,23,None,438,API,29.0,I,29.0,2016-09-19 14:09:44,2016-09-19 14:09:44,None
48,Y,Y,Y,18,7,None,515,API,2.0,I,2.0,2018-10-05 13:22:03,2018-10-05 13:22:03,None
49,Y,Y,Y,18,3,None,518,API,2.0,I,2.0,2018-10-05 13:22:03,2018-10-05 13:22:03,None
50,Y,Y,Y,18,4,None,519,API,2.0,I,2.0,2018-10-05 13:22:03,2018-10-05 13:22:03,None
